Num of reads real,Coverage percentage,Num of mice,Num of samples,Samples-mice ratio,Score,Num of reads
43842633,60,3,59,19.66666667,0.953421871,43.842633
43884110,90,2,42,21,0.756523616,43.88411
43884110,90,2,42,21,0.91039128,43.88411
43904620,60,1,51,51,0.798362826,43.90462
44041963,70,2,53,26.5,0.806268016,44.041963
44041963,70,2,53,26.5,0.942282389,44.041963
44055515,40,2,90,45,0.838484184,44.055515
44113975,50,1,68,68,0.852120546,44.113975
44164290,80,1,38,38,0.738539591,44.16429
44220553,60,2,53,26.5,0.778754191,44.220553
44220553,60,2,53,26.5,0.942662277,44.220553
44236577,80,2,35,17.5,0.665700885,44.236577
44236577,80,2,35,17.5,0.972368936,44.236577
44247834,130,1,31,31,0.766369909,44.247834
44251306,40,2,85,42.5,0.87596988,44.251306
44267036,80,1,38,38,0.743763639,44.267036
44441640,60,2,55,27.5,0.819750658,44.44164
44589718,110,1,36,36,0.782685145,44.589718
44609748,130,1,31,31,0.757558361,44.609748
44609748,130,1,31,31,0.905501926,44.609748
44619055,80,2,42,21,0.752808254,44.619055
44628689,50,2,66,33,0.701845956,44.628689
44679660,70,2,42,21,0.683399484,44.67966
44685711,70,2,48,24,0.764886043,44.685711
44685711,70,2,48,24,0.941217882,44.685711
44729550,90,2,40,20,0.761622348,44.72955
44750635,70,1,47,47,0.84075633,44.750635
44750635,70,1,47,47,0.943750123,44.750635
44903749,140,1,26,26,0.73082217,44.903749
45184101,110,1,39,39,0.73576735,45.184101
45193754,100,1,40,40,0.772096413,45.193754
45274927,50,2,74,37,0.874552101,45.274927
45274927,50,2,74,37,0.963803722,45.274927
45313643,110,2,35,17.5,0.746499413,45.313643
45424728,80,2,44,22,0.811183113,45.424728
45424728,80,2,44,22,0.931966387,45.424728
45659600,100,1,34,34,0.689130294,45.6596
45767698,50,2,78,39,0.826805142,45.767698
46034593,50,3,71,23.66666667,0.747152109,46.034593
46050080,50,3,70,23.33333333,0.800082338,46.05008
46050080,50,3,70,23.33333333,0.949170209,46.05008
46274656,100,1,34,34,0.736335562,46.274656
46345609,40,3,90,30,0.706890379,46.345609
46360540,90,2,35,17.5,0.695126134,46.36054
46360540,90,2,35,17.5,0.961793157,46.36054
46445979,50,2,61,30.5,0.722325457,46.445979
46543513,120,1,29,29,0.714466836,46.543513
46745718,40,3,100,33.33333333,0.779333937,46.745718
46851328,40,3,88,29.33333333,0.770618774,46.851328
47099536,60,2,56,28,0.749722817,47.099536
47300903,80,1,47,47,0.848553718,47.300903
47457203,40,2,91,45.5,0.714184639,47.457203
47598369,110,1,40,40,0.715999833,47.598369
47651514,140,1,31,31,0.766985993,47.651514
47675418,60,3,63,21,0.782098531,47.675418
47675418,60,3,63,21,0.952613912,47.675418
47797572,80,1,45,45,0.817650102,47.797572
47824375,40,2,93,46.5,0.779055528,47.824375
47952613,60,2,59,29.5,0.781808833,47.952613
47962509,40,2,95,47.5,0.884560749,47.962509
47996349,50,3,68,22.66666667,0.753134925,47.996349
48011041,40,2,97,48.5,0.820620353,48.011041
48041267,140,1,31,31,0.773275731,48.041267
48041267,140,1,31,31,0.913809665,48.041267
48131286,50,2,75,37.5,0.853757713,48.131286
48131286,50,2,75,37.5,0.958984583,48.131286
48132295,60,3,56,18.66666667,0.767540315,48.132295
48132295,60,3,56,18.66666667,0.950285611,48.132295
48233504,100,2,37,18.5,0.680899809,48.233504
48233504,100,2,37,18.5,0.961732626,48.233504
48347207,80,1,47,47,0.823755054,48.347207
48465420,40,3,95,31.66666667,0.795168805,48.46542
48479540,40,4,84,21,0.767993535,48.47954
48479540,40,4,84,21,0.958715823,48.47954
48502330,70,2,61,30.5,0.791799389,48.50233
48605998,40,1,68,68,0.706853726,48.605998
48617449,70,1,51,51,0.830150176,48.617449
48643329,120,1,36,36,0.783863715,48.643329
48760123,100,2,42,21,0.758622319,48.760123
48760123,100,2,42,21,0.911541471,48.760123
49018483,40,3,84,28,0.754230462,49.018483
49018483,40,3,84,28,0.954973711,49.018483
49109036,70,1,42,42,0.658123798,49.109036
